entity_type,entity_id,region_code,name,missing_fields,reason_code,reason,priority,status,next_action,source_checked_at
region,경상북도|의성군,경상북도|의성군,의성군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,경상북도|칠곡군,경상북도|칠곡군,칠곡군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,대구광역시|달성군,대구광역시|달성군,달성군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,부산광역시|금정구,부산광역시|금정구,금정구,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,부산광역시|사하구,부산광역시|사하구,사하구,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,서울특별시|강북구,서울특별시|강북구,강북구,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 2건, BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,서울특별시|마포구,서울특별시|마포구,마포구,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,인천광역시|영종구,인천광역시|영종구,영종구,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,전남광주통합특별시|함평군,전남광주통합특별시|함평군,함평군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,충청남도|금산군,충청남도|금산군,금산군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,충청남도|부여군,충청남도|부여군,부여군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,충청북도|보은군,충청북도|보은군,보은군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,충청북도|음성군,충청북도|음성군,음성군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
hospital_bed,A2200010,강원특별자치도|강릉시,의산의료재단강릉고려병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2200038,강원특별자치도|동해시,근로복지공단동해병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2200033,강원특별자치도|춘천시,인성병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100282,경기도|가평군,에이치제이매그놀리아국제병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2100283,경기도|고양시,의료법인일산복음병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100116,경기도|구리시,윤서병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100208,경기도|남양주시,원병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2120077,경기도|남양주시,혜성병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100135,경기도|동두천시,동두천중앙성모병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100058,경기도|부천시,부천우리병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100001,경기도|성남시,분당서울대학교병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A2106200,경기도|성남시,바른마디병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2115807,경기도|성남시,성모윌병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100206,경기도|수원시,수원중앙병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2119276,경기도|수원시,매듭병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100162,경기도|안산시,동안산병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2119939,경기도|안산시,클래스병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100010,경기도|안양시,인산의료재단메트로병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100134,경기도|양주시,양주예쓰병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2100173,경기도|여주시,연세새로운병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100180,경기도|이천시,바른병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100083,경기도|파주시,무척조은병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100130,경기도|파주시,문산중앙병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100255,경기도|평택시,성심중앙병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2100301,경기도|평택시,의료법인청파의료재단송탄중앙병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2116685,경기도|화성시,화성유일병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2803447,경상남도|고성군,더조은병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800063,경상남도|김해시,의료법인 지평의료재단 메가병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800146,경상남도|김해시,의료법인신의료재단김해삼승병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800094,경상남도|남해군,의료법인 이도의료재단 남해병원,전체병상|포화율,BED_TOTAL_MISSING,전체병상 누락 또는 0 이하,P1,open,NEMC 전체병상 원천값 재조회 및 기관 확인,2026-08-31T20:18:11+09:00
hospital_bed,A2800042,경상남도|밀양시,행복한병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800057,경상남도|밀양시,의료법인 생명사랑의료재단 밀양윤병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2804216,경상남도|사천시,하나병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2803867,경상남도|양산시,본바른병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800044,경상남도|진주시,진주세란병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800045,경상남도|진주시,의료법인 바른의료재단 바른병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
