기관코드,병원명,등급,시도,시군구,가용병상,전체병상,포화율,상태,API기준시각,수집시각
A1400004,현대유비스병원,지역응급의료기관,인천광역시,미추홀구,15.0,18.0,16.666666666666664,여유,20260719141151,2026-07-19T14:22:34+09:00
A1400005,온누리병원,지역응급의료기관,인천광역시,검단구,4.0,9.0,55.55555555555556,주의,20260719141144,2026-07-19T14:22:34+09:00
A1400007,의료법인 성수의료재단 인천백병원,지역응급의료기관,인천광역시,제물포구,4.0,5.0,20.0,여유,20260719141255,2026-07-19T14:22:34+09:00
A1400008,(의)성세의료재단 뉴성민병원,지역응급의료기관,인천광역시,서해구,6.0,9.0,33.33333333333333,여유,20260719141434,2026-07-19T14:22:34+09:00
A1400009,인천기독병원,지역응급의료기관,인천광역시,제물포구,7.0,8.0,12.5,여유,20260719141229,2026-07-19T14:22:34+09:00
A1400010,검단탑병원,지역응급의료센터,인천광역시,검단구,10.0,18.0,44.44444444444444,여유,20260719141033,2026-07-19T14:22:34+09:00
A1400011,의료법인 나사렛의료재단 나사렛국제병원,지역응급의료센터,인천광역시,연수구,12.0,17.0,29.411764705882355,여유,20260719141119,2026-07-19T14:22:34+09:00
A1400012,가톨릭대학교 인천성모병원,지역응급의료센터,인천광역시,부평구,-2.0,19.0,,결측,20260719141509,2026-07-19T14:22:34+09:00
A1400013,안은의료재단 부평세림병원,지역응급의료센터,인천광역시,부평구,15.0,16.0,6.25,여유,20260719141529,2026-07-19T14:22:34+09:00
A1400014,의료법인인성의료재단한림병원,지역응급의료센터,인천광역시,계양구,10.0,17.0,41.17647058823529,여유,20260719141249,2026-07-19T14:22:34+09:00
A1400015,가톨릭관동대학교국제성모병원,지역응급의료센터,인천광역시,서해구,7.0,23.0,69.56521739130434,주의,20260719141414,2026-07-19T14:22:34+09:00
A1400016,인천사랑병원,지역응급의료센터,인천광역시,미추홀구,3.0,14.0,78.57142857142857,주의,20260719141458,2026-07-19T14:22:34+09:00
A1400017,인천광역시의료원,지역응급의료기관,인천광역시,제물포구,11.0,15.0,26.666666666666668,여유,20260719141501,2026-07-19T14:22:34+09:00
A1400018,인천적십자병원,지역응급의료기관,인천광역시,연수구,7.0,8.0,12.5,여유,20260719141348,2026-07-19T14:22:34+09:00
A1400032,근로복지공단인천병원,응급실운영신고기관,인천광역시,부평구,,,,결측,,
A1400037,인천광역시의료원백령병원,지역응급의료기관,인천광역시,옹진군,4.0,5.0,20.0,여유,20260719141501,2026-07-19T14:22:34+09:00
A1400045,국제바로병원,응급실운영신고기관,인천광역시,남동구,,,,결측,,
A1403121,인천더드림병원,응급실운영신고기관,인천광역시,계양구,,,,결측,,
A1403372,인천세종병원,지역응급의료센터,인천광역시,계양구,9.0,18.0,50.0,여유,20260719141509,2026-07-19T14:22:34+09:00
A1403617,비에스종합병원,지역응급의료기관,인천광역시,강화군,4.0,10.0,60.0,주의,20260719141459,2026-07-19T14:22:34+09:00
A1403699,(의)성세의료재단 영종국제병원,응급실운영신고기관,인천광역시,영종구,,,,결측,,
A1403871,인천힘찬종합병원,지역응급의료기관,인천광역시,남동구,14.0,17.0,17.647058823529413,여유,20260719141229,2026-07-19T14:22:34+09:00
A1404358,더나눔병원,응급실운영신고기관,인천광역시,미추홀구,,,,결측,,
A1500001,조선대학교병원,권역응급의료센터,전남광주통합특별시,동구,14.0,23.0,39.130434782608695,여유,20260719141533,2026-07-19T14:22:34+09:00
A1500002,전남대학교병원,권역응급의료센터,전남광주통합특별시,동구,1.0,26.0,96.15384615384616,포화,20260719141500,2026-07-19T14:22:34+09:00
A1500003,광주현대병원,지역응급의료기관,전남광주통합특별시,북구,6.0,9.0,33.33333333333333,여유,20260719141534,2026-07-19T14:22:34+09:00
A1500004,광주보훈병원,지역응급의료기관,전남광주통합특별시,광산구,10.0,14.0,28.57142857142857,여유,20260719141300,2026-07-19T14:22:34+09:00
A1500005,광주일곡병원,지역응급의료기관,전남광주통합특별시,북구,2.0,9.0,77.77777777777779,주의,20260719141420,2026-07-19T14:22:34+09:00
A1500006,신가병원,지역응급의료기관,전남광주통합특별시,광산구,5.0,9.0,44.44444444444444,여유,20260719141240,2026-07-19T14:22:34+09:00
A1500007,광주희망병원,지역응급의료기관,전남광주통합특별시,북구,4.0,9.0,55.55555555555556,주의,20260719141413,2026-07-19T14:22:34+09:00
A1500009,광주씨티병원,지역응급의료기관,전남광주통합특별시,남구,8.0,10.0,20.0,여유,20260719141244,2026-07-19T14:22:34+09:00
A1500010,운암한국병원,지역응급의료기관,전남광주통합특별시,북구,5.0,9.0,44.44444444444444,여유,20260719141503,2026-07-19T14:22:34+09:00
A1500011,첨단종합병원,지역응급의료센터,전남광주통합특별시,광산구,17.0,22.0,22.727272727272727,여유,20260719141512,2026-07-19T14:22:34+09:00
A1500013,동아병원,지역응급의료기관,전남광주통합특별시,남구,3.0,9.0,66.66666666666666,주의,20260719141527,2026-07-19T14:22:34+09:00
A1500014,미래로21병원,지역응급의료기관,전남광주통합특별시,서구,4.0,9.0,55.55555555555556,주의,20260719141129,2026-07-19T14:22:34+09:00
A1500015,광주병원,지역응급의료기관,전남광주통합특별시,북구,6.0,10.0,40.0,여유,20260719141001,2026-07-19T14:22:34+09:00
A1500016,광주한국병원,지역응급의료기관,전남광주통합특별시,서구,10.0,15.0,33.33333333333333,여유,20260719141136,2026-07-19T14:22:34+09:00
A1500017,하남성심병원,지역응급의료기관,전남광주통합특별시,광산구,6.0,19.0,68.42105263157895,주의,20260719141052,2026-07-19T14:22:34+09:00
A1500018,광주수완병원,지역응급의료기관,전남광주통합특별시,광산구,5.0,9.0,44.44444444444444,여유,20260719140816,2026-07-19T14:22:34+09:00
A1500019,KS병원,지역응급의료센터,전남광주통합특별시,광산구,10.0,15.0,33.33333333333333,여유,20260719141147,2026-07-19T14:22:34+09:00
A1500020,서광병원,지역응급의료센터,전남광주통합특별시,서구,14.0,18.0,22.22222222222222,여유,20260719141441,2026-07-19T14:22:34+09:00
A1500021,광주기독병원,지역응급의료센터,전남광주통합특별시,남구,-2.0,20.0,,결측,20260719141453,2026-07-19T14:22:34+09:00
A1500022,상무병원,지역응급의료기관,전남광주통합특별시,서구,4.0,9.0,55.55555555555556,주의,20260719141457,2026-07-19T14:22:34+09:00
A1500043,광주열린병원,응급실운영신고기관,전남광주통합특별시,광산구,,,,결측,,
A1500057,해피뷰병원,응급실운영신고기관,전남광주통합특별시,북구,,,,결측,,
A1500071,송정사랑병원,응급실운영신고기관,전남광주통합특별시,광산구,,,,결측,,
A1500078,빛고을전남대학교병원,응급실운영신고기관,전남광주통합특별시,남구,,,,결측,,
A1502006,선한병원,응급실운영신고기관,전남광주통합특별시,서구,,,,결측,,
A1502007,광주센트럴병원,지역응급의료기관,전남광주통합특별시,광산구,8.0,10.0,20.0,여유,20260719114725,2026-07-19T14:22:34+09:00
A1600001,충남대학교병원,권역응급의료센터,대전광역시,중구,-3.0,28.0,,결측,20260719141400,2026-07-19T14:22:34+09:00
A1600002,학교법인을지학원대전을지대학교병원,지역응급의료센터,대전광역시,서구,16.0,21.0,23.809523809523807,여유,20260719141500,2026-07-19T14:22:34+09:00
A1600003,대전한국병원,지역응급의료기관,대전광역시,동구,4.0,9.0,55.55555555555556,주의,20260719141502,2026-07-19T14:22:34+09:00
A1600004,대전보훈병원,지역응급의료기관,대전광역시,대덕구,5.0,7.0,28.57142857142857,여유,20260719141335,2026-07-19T14:22:34+09:00
A1600005,학교법인가톨릭학원가톨릭대학교대전성모병원,지역응급의료센터,대전광역시,중구,10.0,19.0,47.368421052631575,여유,20260719141509,2026-07-19T14:22:34+09:00
A1600006,학교법인건양교육재단건양대학교병원,권역응급의료센터,대전광역시,서구,10.0,24.0,58.333333333333336,주의,20260719141412,2026-07-19T14:22:34+09:00
A1600007,의료법인영훈의료재단유성선병원,지역응급의료센터,대전광역시,유성구,7.0,17.0,58.82352941176471,주의,20260719141045,2026-07-19T14:22:34+09:00
A1600008,의료법인영훈의료재단대전선병원,지역응급의료센터,대전광역시,중구,16.0,17.0,5.88235294117647,여유,20260719141240,2026-07-19T14:22:34+09:00
A1600009,근로복지공단대전병원,응급실운영신고기관,대전광역시,대덕구,,,,결측,,
A1600014,대전화병원,응급실운영신고기관,대전광역시,동구,,,,결측,,
A1602246,대청병원,지역응급의료기관,대전광역시,서구,6.0,9.0,33.33333333333333,여유,20260719141504,2026-07-19T14:22:34+09:00
A1700001,서울산보람병원,지역응급의료기관,울산광역시,울주군,7.0,10.0,30.0,여유,20260719141242,2026-07-19T14:22:34+09:00
A1700002,의료법인동강의료재단동강병원,지역응급의료센터,울산광역시,중구,15.0,24.0,37.5,여유,20260719141053,2026-07-19T14:22:34+09:00
A1700003,울산병원,지역응급의료센터,울산광역시,남구,15.0,19.0,21.052631578947366,여유,20260719141507,2026-07-19T14:22:34+09:00
