"행정구역","2026년07월_계_총인구수","2026년07월_계_연령구간인구수","2026년07월_계_0~9세","2026년07월_계_10~19세","2026년07월_계_20~29세","2026년07월_계_30~39세","2026년07월_계_40~49세","2026년07월_계_50~59세","2026년07월_계_60~69세","2026년07월_계_70~79세","2026년07월_계_80~89세","2026년07월_계_90~99세","2026년07월_계_100세 이상","2026년07월_남_총인구수","2026년07월_남_연령구간인구수","2026년07월_남_0~9세","2026년07월_남_10~19세","2026년07월_남_20~29세","2026년07월_남_30~39세","2026년07월_남_40~49세","2026년07월_남_50~59세","2026년07월_남_60~69세","2026년07월_남_70~79세","2026년07월_남_80~89세","2026년07월_남_90~99세","2026년07월_남_100세 이상","2026년07월_여_총인구수","2026년07월_여_연령구간인구수","2026년07월_여_0~9세","2026년07월_여_10~19세","2026년07월_여_20~29세","2026년07월_여_30~39세","2026년07월_여_40~49세","2026년07월_여_50~59세","2026년07월_여_60~69세","2026년07월_여_70~79세","2026년07월_여_80~89세","2026년07월_여_90~99세","2026년07월_여_100세 이상"
"경기도 동두천시 (4125000000)","86,186","86,186","3,436","7,318","8,253","8,253","10,954","15,676","15,818","9,913","5,610","934","21","42,914","42,914","1,761","3,712","4,407","4,491","5,581","8,175","8,061","4,438","2,027","255","6","43,272","43,272","1,675","3,606","3,846","3,762","5,373","7,501","7,757","5,475","3,583","679","15"
"경기도 안산시 (4127000000)","608,883","608,883","28,443","51,629","79,160","83,073","83,459","118,633","102,551","40,624","17,653","3,527","131","311,771","311,771","14,495","26,416","42,051","46,100","43,806","59,271","53,194","19,329","6,286","791","32","297,112","297,112","13,948","25,213","37,109","36,973","39,653","59,362","49,357","21,295","11,367","2,736","99"
"경기도 안산시 상록구 (4127100000)","320,505","320,505","13,485","27,560","42,766","41,070","43,239","63,744","54,544","21,796","10,234","1,991","76","163,645","163,645","6,879","14,030","22,823","22,857","22,571","31,755","28,373","10,264","3,597","476","20","156,860","156,860","6,606","13,530","19,943","18,213","20,668","31,989","26,171","11,532","6,637","1,515","56"
"경기도 안산시 단원구 (4127300000)","288,378","288,378","14,958","24,069","36,394","42,003","40,220","54,889","48,007","18,828","7,419","1,536","55","148,126","148,126","7,616","12,386","19,228","23,243","21,235","27,516","24,821","9,065","2,689","315","12","140,252","140,252","7,342","11,683","17,166","18,760","18,985","27,373","23,186","9,763","4,730","1,221","43"
"경기도 고양시 (4128000000)","1,057,166","1,057,166","59,797","94,869","115,818","144,119","156,030","193,057","164,308","78,766","41,906","8,324","172","513,816","513,816","30,608","48,255","57,808","72,281","76,706","93,176","81,028","36,277","15,315","2,328","34","543,350","543,350","29,189","46,614","58,010","71,838","79,324","99,881","83,280","42,489","26,591","5,996","138"
"경기도 고양시 덕양구 (4128100000)","482,849","482,849","29,934","40,446","49,754","70,204","73,450","83,450","74,140","38,289","19,561","3,543","78","236,291","236,291","15,363","20,506","24,905","35,200","36,952","41,073","36,582","17,518","7,232","945","15","246,558","246,558","14,571","19,940","24,849","35,004","36,498","42,377","37,558","20,771","12,329","2,598","63"
"경기도 고양시 일산동구 (4128500000)","298,158","298,158","16,218","26,636","34,502","41,355","43,502","55,401","46,285","20,722","11,010","2,476","51","144,390","144,390","8,265","13,627","16,866","20,658","21,207","26,497","22,872","9,713","3,982","691","12","153,768","153,768","7,953","13,009","17,636","20,697","22,295","28,904","23,413","11,009","7,028","1,785","39"
"경기도 고양시 일산서구 (4128700000)","276,159","276,159","13,645","27,787","31,562","32,560","39,078","54,206","43,883","19,755","11,335","2,305","43","133,135","133,135","6,980","14,122","16,037","16,423","18,547","25,606","21,574","9,046","4,101","692","7","143,024","143,024","6,665","13,665","15,525","16,137","20,531","28,600","22,309","10,709","7,234","1,613","36"
"경기도 과천시 (4129000000)","81,008","81,008","8,095","8,331","8,144","12,585","13,096","11,861","10,708","5,191","2,415","564","18","39,448","39,448","4,135","4,242","4,089","6,043","6,486","5,642","5,217","2,466","961","164","3","41,560","41,560","3,960","4,089","4,055","6,542","6,610","6,219","5,491","2,725","1,454","400","15"
"경기도 구리시 (4131000000)","188,040","188,040","10,071","16,075","21,005","26,625","27,861","33,221","30,442","15,237","6,514","965","24","93,078","93,078","5,194","8,250","10,564","13,799","14,143","16,128","15,057","7,093","2,575","268","7","94,962","94,962","4,877","7,825","10,441","12,826","13,718","17,093","15,385","8,144","3,939","697","17"
"경기도 남양주시 (4136000000)","727,373","727,373","44,408","78,424","74,670","84,209","117,752","130,319","105,477","60,497","27,103","4,378","136","359,094","359,094","22,746","40,105","38,445","42,586","57,872","65,415","52,312","27,812","10,645","1,129","27","368,279","368,279","21,662","38,319","36,225","41,623","59,880","64,904","53,165","32,685","16,458","3,249","109"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","254,747","254,747","17,990","27,475","28,735","41,401","47,103","42,169","29,160","13,788","5,978","923","25","133,012","133,012","9,287","14,035","15,638","23,121","25,453","21,987","14,666","6,380","2,211","232","2","121,735","121,735","8,703","13,440","13,097","18,280","21,650","20,182","14,494","7,408","3,767","691","23"
"경기도 시흥시 (4139000000)","514,996","514,996","36,818","52,120","56,214","73,900","88,417","92,212","72,222","28,688","12,093","2,241","71","268,039","268,039","18,774","26,626","30,449","39,804","47,319","48,105","38,343","13,819","4,335","452","13","246,957","246,957","18,044","25,494","25,765","34,096","41,098","44,107","33,879","14,869","7,758","1,789","58"
