기관코드,병원명,주소,시도,시군구,HIRA병원명,암호화요양기호,매칭점수,매칭상태,응급의학과전문의수,HIRA주소
A2100003,고려대학교의과대학부속안산병원,경기도 안산시 단원구 적금로 123 (고잔동),경기도,안산시,고려대학교의과대학부속안산병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,1.0,자동매칭,11.0,
A2100014,근로복지공단안산병원,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",경기도,안산시,근로복지공단안산병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNDEjJDEjJDQjJDgz,1.0,자동매칭,3.0,
A2100017,대아의료재단한도병원,경기도 안산시 단원구 선부광장로 103 (선부동),경기도,안산시,대아의료재단한도병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjODEjJDEjJDYjJDgz,1.0,자동매칭,8.0,
A2100162,동안산병원,경기도 안산시 상록구 월피로 88 (월피동),경기도,안산시,동안산병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjEyMjIjNTEjJDEjJDIjJDgz,1.0,자동매칭,0.0,
A2100124,의료법인칠석의료재단사랑의병원,"경기도 안산시 상록구 예술광장로 69, 사랑의병원(593-4번지/593-5번지) (성포동)",경기도,안산시,의료법인칠석의료재단사랑의병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE4MzIjNDEjJDEjJDQjJDgz,1.0,자동매칭,8.0,
A2100021,의료법인플러스의료재단단원병원,경기도 안산시 단원구 원포공원1로 20 (초지동),경기도,안산시,,,0.0,미매칭,,
A2119939,클래스병원,"경기도 안산시 단원구 적금로1길 11, SR노빌리안 3~8층 1층(101~103)호 (고잔동)",경기도,안산시,클래스병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNzEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100045,경기도의료원안성병원,"경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)",경기도,안성시,,,0.0,미매칭,,
A2100305,안성성모병원,경기도 안성시 시장길 58 (서인동),경기도,안성시,안성성모병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,1.0,자동매칭,5.0,
A2100010,인산의료재단메트로병원,"경기도 안양시 만안구 명학로33번길 8 (안양동, 메트로병원)",경기도,안양시,,,0.7,낮은유사도,,
A2100004,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22 (평촌동),경기도,안양시,한림대학교성심병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,1.0,자동매칭,13.0,
A2100015,효산의료재단안양샘병원,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",경기도,안양시,,,0.0,미매칭,,
A2100134,양주예쓰병원,경기도 양주시 회정로 103 (덕정동),경기도,양주시,양주예쓰병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,1.0,자동매칭,0.0,
A2100089,양평병원,경기도 양평군 양평읍 중앙로 129,경기도,양평군,양평병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,1.0,자동매칭,1.0,
A2100194,세종여주병원,"경기도 여주시 청심로 39, 세종여주병원 (하동)",경기도,여주시,세종여주병원,JDU4MTI3MSM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,1.0,자동매칭,4.0,
A2100173,연세새로운병원,경기도 여주시 영릉로 22 (창동),경기도,여주시,연세새로운병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
E2100187,연천군보건의료원,경기도 연천군 전곡읍 은대성로 95,경기도,연천군,연천군보건의료원,JDQ4MTYyMiM1MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100024,오산한국병원,경기도 오산시 밀머리로1번길 16 (원동),경기도,오산시,오산한국병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,1.0,자동매칭,4.0,
A2114449,조은오산병원,경기도 오산시 오산로 307 (오산동),경기도,오산시,조은오산병원,JDU4MTI3MSM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDIjJDgz,1.0,자동매칭,0.0,
A2100019,(의)영문의료재단다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",경기도,용인시,,,0.0,미매칭,,
A2100122,(의)효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81 (고림동),경기도,용인시,,,0.0,미매칭,,
A2100029,강남병원,"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",경기도,용인시,강남병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNjEjJDEjJDgjJDgz,1.0,자동매칭,7.0,
A2121142,메디필드한강병원,경기도 용인시 처인구 금령로39번길 8-6 (김량장동),경기도,용인시,메디필드한강병원,JDU4MTI3MSM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDIjJDgz,1.0,자동매칭,6.0,
A2100020,연세대학교의과대학용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363 (중동),경기도,용인시,연세대학교 의과대학 용인세브란스병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,1.0,자동매칭,10.0,
A2100040,가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",경기도,의정부시,가톨릭대학교의정부성모병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,1.0,자동매칭,14.0,
A2100043,경기도의료원의정부병원,경기도 의정부시 흥선로 142 (의정부동),경기도,의정부시,경기도의료원의정부병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100034,의료법인영동의료재단의정부백병원,경기도 의정부시 금신로 322 (신곡동),경기도,의정부시,,,0.0,미매칭,,
